region_clean,cent_lat,cent_lon
vosne romanee clos des reas,47.0937,4.5716
luberon,43.79999999999998,5.3
pommard premier cru,46.951199999999986,4.792500000000002
lirac,44.01666999999998,4.716669999999996
fleurie,46.27455999999999,4.702339999999999
aloxe corton les fournieres,47.0579,4.8629
chambertin,48.393029999999996,4.313862999999999
volnay en chevret,46.94400000000001,4.7648
cotes du rhone villages plan de dieu,44.199999999999996,4.950000000000001
corton les perrieres,47.0744,4.8701
fronsac,44.93333000000001,-0.25
cotes du rhone villages signargues,44.10000000000001,4.71667
saint georges saint emilion,44.55219999999999,-0.13450000000000004
saint romain,46.9724,4.730800000000001
givry 1er cru la grande berge,46.79189,4.74438
clos des epeneaux,47.249568000000004,4.752110000000001
les arvelets,47.158,4.9515
gigondas,44.154320000000055,4.8420999999999985
touraine,47.29999999999998,0.6999999999999997
beaune les reversees,47.0161,4.8389
cahors,44.44889000000001,1.4399999999999986
beaune,47.02599999999998,4.841399999999999
fixin,47.25969999999999,4.973399999999999
morey saint denis les chenevery,46.968588,5.054644
aloxe corton les chaillots,47.05599999999999,4.864
cotes du rhone villages saint gervais,44.14567,4.87321
haut medoc,45.19999999999997,-0.7666700000000025
alsace grand cru,48.23288,7.2499
vinsobres,42.38459999999999,2.59921
gevrey chambertin petite chapelle,46.95507400000001,4.815159
volnay les mitans,46.9441,4.7641
regnie,46.267889999999994,4.731229999999998
beaune clos des ursules,47.0234,4.843
mercurey les fourneaux,46.82911,4.744
pessac leognan,44.80321000000003,-0.5943200000000016
clos blanc,46.9324,4.7531
cotes de francs,42.955249999999985,1.7946999999999993
beaune premier cru,47.02479999999997,4.841299999999999
saint drezery,43.56432,3.83456
nuits saint georges les hauts pruliers,47.1325,4.9464
saint julien,45.15179999999986,-0.747
cotes du roussillon villages tautavel,42.74432,2.83456
nuits saint georges les saints georges,47.137,4.9509
givry,46.7935,4.742
savigny les beaune aux guettes,47.05721,4.828119999999999
nuits saint georges les poulettes,47.1525,4.944
beaune clos des avaux,47.01587,4.84254
volnay premier cru,46.94419999999997,4.765800000000004
macon aze,46.41667,4.53333
corton,47.058,4.8640000000000025
coteaux bourguignons,47.0,4.75
beaujolais nouveau,46.1,4.7
les pezerolles,47.02020000000001,4.8419
cotes du rhone villages visan,44.33333,4.96667
gevrey chambertin bel air,47.187282,5.014509
givry clos du vernoy,46.7933,4.7441
mazoyeres chambertin,47.071004,4.93028
ladoix,47.063200000000016,4.8747
medoc,45.26666999999998,-0.7833299999999995
les baux de provence,43.74320999999998,4.708650000000001
ctes du jura,46.67987000000002,5.727649999999998
chambolle musigny les plantes,47.227747,4.939536
nuits saint georges les perrieres,47.11729,4.950832
anjou villages,42.24925,1.62612
saumur champigny,47.25,-0.08333000000000008
st emilion grand cru,42.656580000000304,0.00997000000000003
clos de tart,47.886801,3.092411
cotes du roussillon,42.688610000000054,2.894720000000005
nuits saint georges clos des porrets saint georges,47.1379,4.9502999999999995
saint aubin,46.9351,4.7439
irancy,47.713710999999996,3.661520000000001
limoux,42.51848,3.225940000000001
cotes du vivarais,44.38333,4.5
nuits saint georges les vaucrains,47.1398,4.95
minervois,43.30000000000006,2.5999999999999965
saint aubin le puits,46.9355,4.745
mercurey,46.83030000000004,4.741199999999997
