department,total_days,valid_days,missing_days,percent_valid
02,5612,5612,0,100.0
07,5612,5612,0,100.0
10,5612,5612,0,100.0
11,5612,5612,0,100.0
13,5612,5612,0,100.0
18,5612,5612,0,100.0
20,5612,5612,0,100.0
21,5612,5612,0,100.0
26,5612,5612,0,100.0
32,5612,5612,0,100.0
33,5612,5612,0,100.0
34,5612,5612,0,100.0
37,5612,5612,0,100.0
39,5612,5612,0,100.0
42,5612,5612,0,100.0
46,5612,5612,0,100.0
49,5612,5612,0,100.0
51,5612,5612,0,100.0
65,5612,5612,0,100.0
66,5612,5612,0,100.0
67,5612,5612,0,100.0
68,5612,5612,0,100.0
69,5612,5612,0,100.0
71,5612,5612,0,100.0
73,5613,5612,1,99.98
83,5612,5612,0,100.0
84,5612,5612,0,100.0
89,5612,5612,0,100.0
