department,readable,missing_columns,missing_RR,missing_TN,missing_TX,missing_TM,valid_years,outliers_RR,outliers_TN,outliers_TX,outliers_TM
42,True,None,0.031,0.293,0.293,0.502,16,0,0,43,0
89,True,None,0.001,0.47,0.47,0.586,16,0,0,0,0
33,True,None,0.001,0.248,0.246,0.506,16,0,0,0,0
46,True,None,0.0,0.43,0.43,0.659,16,0,0,0,0
10,True,None,0.0,0.427,0.427,0.495,16,0,0,0,0
37,True,None,0.0,0.353,0.353,0.442,16,0,0,0,0
71,True,None,0.0,0.379,0.379,0.626,16,0,0,0,0
20,True,None,0.027,0.304,0.303,0.485,16,0,0,29,0
66,True,None,0.068,0.346,0.346,0.455,16,0,0,99,1
51,True,None,0.0,0.402,0.402,0.514,16,0,0,0,0
68,True,None,0.009,0.366,0.366,0.54,16,0,0,39,0
34,True,None,0.0,0.314,0.314,0.494,16,0,0,0,0
83,True,None,0.017,0.21,0.21,0.242,16,0,0,0,0
32,True,None,0.0,0.451,0.451,0.662,16,0,0,0,0
21,True,None,0.001,0.535,0.535,0.589,16,0,0,0,0
13,True,None,0.052,0.282,0.282,0.284,16,0,0,0,0
65,True,None,0.071,0.191,0.191,0.568,16,0,0,106,0
11,True,None,0.0,0.452,0.452,0.52,16,0,0,0,0
02,True,None,0.0,0.517,0.517,0.624,16,0,0,0,0
49,True,None,0.0,0.448,0.448,0.602,16,0,0,0,0
18,True,None,0.0,0.391,0.391,0.638,16,0,0,0,0
69,True,None,0.004,0.315,0.315,0.624,16,0,0,4,0
07,True,None,0.015,0.294,0.294,0.372,16,0,0,50,0
39,True,None,0.001,0.283,0.283,0.666,16,0,0,8,0
84,True,None,0.0,0.5,0.5,0.591,16,0,0,1,0
26,True,None,0.001,0.124,0.124,0.15,16,0,0,20,0
67,True,None,0.0,0.38,0.38,0.474,16,0,0,17,0
73,True,None,0.11,0.231,0.231,0.45,16,0,0,1532,28
